Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
Agriculteur,,No,1990.0,Catholic,52,44.0,No,Nord-Est,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,8,No,25-29,4,Yes,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,52,Yes,No,Drinks rum,1582,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,No,2013.0,Protestant/Methodist/Adventist/Jehova Witness,25,24.0,No,Nord-Est,,Female,No,No,25-29,Skilled manual,Product not used,All year,0,No,0-4,2,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,24,Yes,No,Drinks beer,1583,No Beating,0
Commercant et assimilï¿½,Formerly married,No,1987.0,Catholic,47,,No,Nord-Est,,Male,No,No,45-49,Sales,Product not used,All year,0,No,25-29,Always,No,No,Yes,No education,Product not used,No,Yes,Every day,HT7,,No,,Yes,47,Yes,No,DrinksTafia/Clairin,1584,No Beating,0
Agriculteur,No,No,,Catholic,23,,No,Nord-Est,,Male,No,No,20-24,Agriculture - self employed,Product not used,All year,0,No,Never married,1,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,Yes,,Yes,47,Yes,No,Drinks rum,1585,wife refuses to have sex with husband,1
Agriculteur,,No,2002.0,Protestant/Methodist/Adventist/Jehova Witness,37,34.0,No,Nord-Est,,Female,No,No,35-39,Agriculture - self employed,Product not used,Seasonal,2,Yes,10-14,10,No,No,No,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,34,Yes,No,Drinks other alcohol,1586,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,2009.0,No religion,23,25.0,Yes,Nord-Est,,Male,No,No,20-24,Skilled manual,Product not used,All year,0,No,5-9,2,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,23,Yes,No,Drinks wine,1587,No Beating,0
Agriculteur,,No,1992.0,Catholic,47,43.0,Yes,Nord-Est,,Male,No,No,45-49,Agriculture - self employed,Product not used,All year,2,Yes,20-24,8,No,No,No,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,47,Yes,No,Drinks other alcohol,1588,No Beating,0
Agriculteur,,No,2015.0,Protestant/Methodist/Adventist/Jehova Witness,22,17.0,No,Nord-Est,,Male,No,No,20-24,Agriculture - self employed,Product not used,All year,1,No,0-4,3,Yes,No,Yes,Secondary,Product not used,,No,Every day,HT7,Living with him,No,,Yes,47,Yes,No,Drinks rum,1589,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,2011.0,Catholic,40,28.0,No,Nord-Est,,Male,No,No,40-44,Skilled manual,Product not used,All year,2,No,5-9,1,No,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,38,Yes,No,DrinksTafia/Clairin,1590,No Beating,0
Ouvrier qualifiï¿½ de type industriel,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Nord-Est,,Male,No,No,20-24,Skilled manual,Product not used,All year,0,No,Never married,4,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,38,Yes,No,DrinksTafia/Clairin,1591,No Beating,0
Policier ou militaire,,No,2016.0,Protestant/Methodist/Adventist/Jehova Witness,27,24.0,No,Nord-Est,,Male,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,0-4,3,Yes,No,Yes,Higher,30,,No,Hardly ever,HT7,Living with him,No,,Yes,27,Yes,No,Drinks rum,1592,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2012.0,Catholic,29,24.0,Yes,Grand'Anse,,Male,No,No,25-29,Skilled manual,Product not used,All year,0,No,0-4,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,Staying elsewhere,No,,Yes,29,Yes,No,Drinks wine,1593,No Beating,0
"Contremaitre, agent de maitrise",No,No,,No religion,21,,No,Grand'Anse,,Female,No,No,20-24,Professional/technical/managerial,Product not used,Seasonal,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,No,Every now and then,HT7,,No,,No,47,Yes,No,Drinks rum,1594,No Beating,0
"Contremaitre, agent de maitrise",,No,2014.0,Protestant/Methodist/Adventist/Jehova Witness,32,29.0,Yes,Grand'Anse,,Female,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,0-4,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,29,Yes,No,Drinks wine,1595,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,Yes,Grand'Anse,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,49,No,No,Drinks wine,1596,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,Yes,Grand'Anse,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,6,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,49,No,No,Drinks wine,1597,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,Yes,Grand'Anse,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,49,No,No,Drinks wine,1598,No Beating,0
"Contremaitre, agent de maitrise",,No,2011.0,No religion,31,28.0,Yes,Grand'Anse,,Male,No,Yes,30-34,Professional/technical/managerial,Product not used,All year,0,No,5-9,Always,Yes,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,31,Yes,No,Drinks wine,1599,wife goes out without telling husband,1
"Contremaitre, agent de maitrise",,No,1996.0,Protestant/Methodist/Adventist/Jehova Witness,52,53.0,Yes,Grand'Anse,,Male,No,No,50-54,Professional/technical/managerial,Product not used,All year,3,No,20-24,25,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,No,52,Yes,No,Drinks wine,1600,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,No religion,24,,No,Grand'Anse,,Male,No,No,20-24,Skilled manual,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,Yes,,Yes,52,Yes,No,Drinks beer,1601,wife refuses to have sex with husband,1
Insituteur et assimilï¿½s,,Yes,2010.0,Catholic,31,29.0,No,Grand'Anse,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,2,No,5-9,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,32,Yes,No,Drinks beer,1602,No Beating,0
Agriculteur,,No,1982.0,Catholic,62,59.0,No,Grand'Anse,,Male,No,No,60-64,Agriculture - self employed,Product not used,All year,3,No,30+,Always,No,No,Yes,No education,1,,Yes,Every day,HT7,Living with him,No,,Yes,62,Yes,No,DrinksTafia/Clairin,1603,No Beating,0
"Contremaitre, agent de maitrise",No,Yes,,No religion,31,,Yes,Grand'Anse,No,Male,No,No,30-34,Professional/technical/managerial,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,62,No,No,Drinks wine,1604,No Beating,0
Insituteur et assimilï¿½s,No,No,,Protestant/Methodist/Adventist/Jehova Witness,32,,Yes,Grand'Anse,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,62,Yes,No,Drinks wine,1605,No Beating,0
Commercant et assimilï¿½,,Yes,2007.0,Protestant/Methodist/Adventist/Jehova Witness,37,36.0,No,Grand'Anse,,Male,No,No,35-39,Sales,Product not used,All year,1,No,5-9,17,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,37,Yes,No,Drinks rum,1606,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,25,,Yes,Grand'Anse,No,Female,No,No,25-29,Not working,Product not used,,0,Yes,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,59,No,No,Drinks other alcohol,1607,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,No religion,18,,No,Grand'Anse,No,Male,No,No,15-19,Skilled manual,Product not used,Seasonal,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,71,No,Yes,Drinks rum,1608,wife neglects the children,1
Commercant et assimilï¿½,,No,2003.0,Catholic,45,54.0,Yes,Grand'Anse,,Female,No,No,45-49,Sales,Product not used,All year,1,No,10-14,10,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,54,Yes,No,Drinks wine,1609,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,No,1998.0,No religion,47,31.0,Yes,Grand'Anse,,Male,No,No,45-49,Skilled manual,Product not used,Occasional,0,No,15-19,Always,Yes,No,Yes,Primary,4,,Yes,Every now and then,HT7,Living with him,No,,Yes,47,Yes,Yes,Drinks wine,1610,wife neglects the children,1
"Contremaitre, agent de maitrise",,No,1998.0,Protestant/Methodist/Adventist/Jehova Witness,41,35.0,Yes,Grand'Anse,,Male,No,No,40-44,Professional/technical/managerial,Product not used,All year,0,No,15-19,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,41,Yes,No,Drinks wine,1611,No Beating,0
"Contremaitre, agent de maitrise",,No,2005.0,Protestant/Methodist/Adventist/Jehova Witness,32,27.0,No,Grand'Anse,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,1,No,10-14,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,No,32,Yes,No,No Drinks,1612,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,15,,Yes,Nord,No,Female,No,No,15-19,Not working,Product not used,,0,Yes,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,42,No,Yes,Drinks other alcohol,1613,wife neglects the children,1
Cadres adminsitratifs ou commercial d'entrperise,,Yes,2011.0,Catholic,37,33.0,Yes,Nord,No,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,1,Yes,5-9,5,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,37,No,No,Drinks other alcohol,1614,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,15,,Yes,Nord,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,2,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,32,No,Yes,Drinks wine,1615,wife neglects the children,1
Commercant et assimilï¿½,,No,2011.0,Protestant/Methodist/Adventist/Jehova Witness,33,28.0,Yes,Nord,,Male,No,No,30-34,Sales,Product not used,All year,0,No,5-9,15,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,33,Yes,No,Drinks wine,1616,No Beating,0
Commercant et assimilï¿½,,No,2003.0,Catholic,45,47.0,Yes,Nord,,Female,No,No,45-49,Sales,Product not used,All year,0,No,10-14,2,Yes,No,Yes,Primary,Product not used,,No,Every day,HT7,Living with him,No,,No,47,Yes,No,Drinks wine,1617,No Beating,0
Profession de l'information des arts et spectacles,,Yes,1994.0,Catholic,49,37.0,Yes,Nord,,Male,No,No,45-49,Professional/technical/managerial,Product not used,All year,1,No,20-24,22,Yes,No,Yes,Secondary,Product not used,,No,Every day,HT7,Living with him,No,,No,48,Yes,No,Drinks wine,1618,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,16,,Yes,Nord,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,16,No,No,Yes,Primary,Product not used,,Yes,Every day,HT7,,No,,No,48,No,No,Drinks wine,1619,No Beating,0
"Contremaitre, agent de maitrise",,Yes,2001.0,Protestant/Methodist/Adventist/Jehova Witness,49,37.0,Yes,Nord,,Male,No,No,45-49,Professional/technical/managerial,Product not used,Occasional,5,No,15-19,4,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,Living with him,No,,No,49,Yes,No,Drinks wine,1620,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,19,,Yes,Nord,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,4,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,49,No,No,Drinks wine,1621,No Beating,0
Personnel des services directs au particulier,,No,2000.0,No religion,36,32.0,Yes,Nord,,Female,No,No,35-39,Household and domestic,Product not used,All year,2,No,15-19,26,Yes,No,Yes,No education,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,32,Yes,No,Drinks wine,1622,No Beating,0
Insituteur et assimilï¿½s,,Yes,2011.0,Protestant/Methodist/Adventist/Jehova Witness,40,41.0,Yes,Nord,,Male,No,No,40-44,Professional/technical/managerial,Product not used,All year,2,No,5-9,5,No,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,41,Yes,No,Drinks wine,1623,No Beating,0
Chaffeur,,Yes,2006.0,Protestant/Methodist/Adventist/Jehova Witness,32,26.0,Yes,Nord,,Male,No,No,30-34,Sales,Product not used,All year,1,No,10-14,20,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,33,Yes,No,Drinks wine,1624,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,56,,Yes,Nord,No,Female,No,No,55-59,Not working,Product not used,,0,No,Never married,56,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,80,No,No,Drinks wine,1625,No Beating,0
Profession intermediare/administrative du privï¿½,,No,2014.0,Protestant/Methodist/Adventist/Jehova Witness,31,27.0,Yes,Nord,No,Female,No,Yes,30-34,Professional/technical/managerial,Product not used,Seasonal,0,No,0-4,12,Yes,No,Yes,Higher,Product not used,,Yes,Every day,HT7,Living with him,No,,No,80,No,No,Drinks wine,1626,wife goes out without telling husband,1
Ouvrier qualifiï¿½ de type artisanal,No,No,,Catholic,20,,Yes,Nord,,Female,No,No,20-24,Skilled manual,Product not used,Seasonal,0,No,Never married,15,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,,No,,No,80,Yes,No,Drinks wine,1627,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,No,2013.0,Catholic,22,22.0,Yes,Nord,No,Female,No,No,20-24,Skilled manual,Product not used,Seasonal,0,No,0-4,10,Yes,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,No,80,No,No,Drinks wine,1628,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,1996.0,Catholic,51,44.0,No,Nord,,Male,No,No,50-54,Skilled manual,Product not used,Occasional,1,No,20-24,27,Yes,No,No,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,51,Yes,No,Drinks rum,1629,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,22,,Yes,Nord,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,20,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,51,No,No,Drinks wine,1630,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,20,,Yes,Nord,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,20,No,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,51,No,No,Drinks wine,1631,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,17,,Yes,Nord,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,17,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,51,No,No,Drinks wine,1632,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,22,,Yes,Nord,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,13,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,51,No,No,Drinks wine,1633,No Beating,0
Personnel des services directs au particulier,,Yes,1980.0,Catholic,62,56.0,Yes,Nord,,Male,No,No,60-64,Household and domestic,Product not used,All year,1,No,30+,Always,Yes,No,Yes,No education,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,61,Yes,No,Drinks wine,1634,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,30,,Yes,Nord,No,Male,No,Yes,30-34,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,61,No,No,Drinks wine,1635,wife goes out without telling husband,1
Employï¿½ du commerce,No,No,,Vaudousant,32,,Yes,Nord,,Male,No,Yes,30-34,Sales,Product not used,All year,1,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,Yes,Every day,HT7,,No,,Yes,61,Yes,No,Drinks wine,1636,wife goes out without telling husband,1
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,25,,No,Nord,No,Male,No,Yes,25-29,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,No,Yes,Every day,HT7,,Yes,,Yes,61,No,Yes,Drinks rum,1637,wife goes out without telling husband,1
Profession de l'information des arts et spectacles,,Yes,1998.0,Protestant/Methodist/Adventist/Jehova Witness,48,40.0,Yes,Nord,,Male,No,No,45-49,Professional/technical/managerial,Product not used,Occasional,0,No,15-19,Always,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Staying elsewhere,No,,Yes,49,Yes,No,Drinks wine,1638,No Beating,0
Agriculteur,,No,2004.0,Catholic,37,48.0,No,Grand'Anse,,Male,No,No,35-39,Agriculture - self employed,Product not used,All year,0,No,10-14,Always,No,No,No,No education,3,,Yes,Hardly ever,HT7,Staying elsewhere,No,,Yes,35,Yes,No,DrinksTafia/Clairin,1639,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,16,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,35,No,No,DrinksTafia/Clairin,1640,No Beating,0
Commercant et assimilï¿½,,No,1993.0,Catholic,46,40.0,No,Grand'Anse,,Male,No,No,45-49,Sales,Product not used,All year,0,No,20-24,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,46,Yes,No,No Drinks,1641,No Beating,0
"Contremaitre, agent de maitrise",No,No,,Catholic,22,,No,Grand'Anse,,Male,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,Yes,No,No,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,46,Yes,No,Drinks rum,1642,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,17,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,9,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,46,No,No,Drinks rum,1643,No Beating,0
Agriculteur,,No,2015.0,Catholic,26,20.0,No,Grand'Anse,,Male,No,No,25-29,Agriculture - self employed,Product not used,Seasonal,1,No,0-4,Always,No,No,No,Primary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,46,Yes,No,DrinksTafia/Clairin,1644,No Beating,0
Agriculteur,No,No,,No religion,25,,No,Grand'Anse,,Male,No,No,25-29,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,46,Yes,No,Drinks rum,1645,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,25,,No,Grand'Anse,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,54,No,No,No Drinks,1646,No Beating,0
Personnel des services directs au particulier,No,No,,Protestant/Methodist/Adventist/Jehova Witness,22,,Yes,Grand'Anse,,Female,No,No,20-24,Household and domestic,Product not used,All year,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,54,Yes,No,Drinks wine,1647,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,32,,No,Grand'Anse,,Female,No,No,30-34,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,54,Yes,No,No Drinks,1648,No Beating,0
Agriculteur,,No,2011.0,Catholic,36,40.0,No,Grand'Anse,,Female,No,No,35-39,Agriculture - self employed,Product not used,All year,2,No,5-9,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,40,Yes,No,DrinksTafia/Clairin,1649,No Beating,0
Agriculteur,,No,2010.0,Catholic,29,23.0,No,Grand'Anse,,Male,No,No,25-29,Agriculture - self employed,Product not used,All year,0,No,5-9,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,27,Yes,No,No Drinks,1650,No Beating,0
Agriculteur,,No,1997.0,Protestant/Methodist/Adventist/Jehova Witness,39,35.0,No,Grand'Anse,,Female,No,No,35-39,Agriculture - self employed,Product not used,Seasonal,1,No,20-24,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,67,Yes,No,No Drinks,1651,No Beating,0
Agriculteur,,No,1993.0,Catholic,47,44.0,Yes,Grand'Anse,,Male,No,No,45-49,Agriculture - self employed,Product not used,Seasonal,0,No,20-24,Always,Yes,No,No,No education,15,,Yes,Every now and then,HT7,Living with him,No,,Yes,47,Yes,No,Drinks wine,1652,No Beating,0
Employï¿½ du commerce,No,No,,Catholic,23,,Yes,Grand'Anse,,Male,No,No,20-24,Sales,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,47,Yes,No,Drinks wine,1653,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,17,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,No,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,47,No,No,Drinks rum,1654,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,47,No,No,No Drinks,1655,No Beating,0
Agriculteur,,No,2006.0,Protestant/Methodist/Adventist/Jehova Witness,35,34.0,No,Grand'Anse,,Male,No,No,35-39,Agriculture - self employed,Product not used,All year,3,No,10-14,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,35,Yes,No,DrinksTafia/Clairin,1656,No Beating,0
Personnel des services directs au particulier,No,No,,Catholic,28,,No,Grand'Anse,,Female,No,No,25-29,Household and domestic,Product not used,All year,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,62,Yes,No,Drinks rum,1657,No Beating,0
Agriculteur,No,No,,Catholic,22,,Yes,Grand'Anse,,Female,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,62,Yes,No,Drinks wine,1658,No Beating,0
Personnel des services directs au particulier,No,No,,No religion,20,,No,Grand'Anse,,Female,No,No,20-24,Household and domestic,Product not used,All year,0,No,Never married,Always,Yes,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,62,Yes,No,Drinks rum,1659,No Beating,0
Ouvrier non qualifiï¿½ de type industriel,Formerly married,No,2004.0,Catholic,38,,No,Grand'Anse,,Female,No,No,35-39,Unskilled manual,Product not used,All year,0,No,10-14,Always,Yes,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,66,Yes,No,Drinks rum,1660,No Beating,0
Agriculteur,,No,1990.0,Catholic,52,57.0,No,Grand'Anse,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,2,No,25-29,20,Yes,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,52,Yes,No,Drinks rum,1661,No Beating,0
Agriculteur,,No,1988.0,Catholic,61,52.0,No,Grand'Anse,,Male,No,No,60-64,Agriculture - self employed,Product not used,All year,1,No,25-29,Always,No,No,No,No education,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,61,Yes,No,DrinksTafia/Clairin,1662,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,61,No,No,No Drinks,1663,No Beating,0
Agriculteur,,No,1988.0,Protestant/Methodist/Adventist/Jehova Witness,50,46.0,No,Grand'Anse,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,1,No,25-29,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,50,Yes,No,No Drinks,1664,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,28,,No,Grand'Anse,No,Male,No,No,25-29,Not working,Product not used,,0,Yes,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,50,No,No,Drinks other alcohol,1665,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,26,,No,Grand'Anse,,Male,No,No,25-29,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Every day,HT7,,No,,Yes,50,Yes,No,DrinksTafia/Clairin,1666,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,50,No,No,DrinksTafia/Clairin,1667,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,15,,No,Grand'Anse,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,50,No,No,No Drinks,1668,No Beating,0
Personnel des services directs au particulier,,No,2013.0,No religion,25,18.0,No,Grand'Anse,,Male,No,No,25-29,Household and domestic,Product not used,All year,0,No,0-4,Always,Yes,No,No,Primary,Product not used,,Yes,Every day,HT7,Living with him,No,,No,78,Yes,No,Drinks rum,1669,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Grand'Anse,,Male,No,No,15-19,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,78,Yes,No,DrinksTafia/Clairin,1670,No Beating,0
